frame,fps,bus,car,person,truck
0,0.87,0,20,0,3
1,1.49,0,17,0,4
2,2.31,0,17,0,3
3,2.78,0,17,0,3
4,2.58,0,18,0,2
5,1.16,0,19,0,2
6,1.9,0,19,0,4
7,2.07,0,20,0,2
8,1.76,0,21,0,2
9,1.5,0,18,0,2
10,1.05,0,18,0,1
11,1.11,0,17,0,2
12,1.89,0,17,0,2
13,3.19,0,19,0,2
14,3.47,0,18,0,3
15,3.62,0,18,0,3
16,3.53,0,17,0,1
17,3.55,0,18,0,1
18,3.64,0,16,0,1
19,3.65,0,17,0,1
20,3.51,0,17,0,2
21,3.82,0,17,0,2
22,3.91,0,18,0,2
23,3.93,0,17,0,1
24,5.06,0,18,0,1
25,4.34,0,20,0,0
26,4.93,0,19,0,0
27,4.86,0,16,0,0
28,5.84,0,15,0,1
29,6.37,0,17,0,0
30,4.93,0,15,0,0
31,4.25,0,16,0,0
32,4.18,0,17,0,0
33,4.07,0,18,0,0
34,4.07,0,18,0,0
35,4.08,0,18,0,1
36,4.07,0,18,0,1
37,4.19,0,19,0,0
38,4.24,0,20,0,1
39,4.32,0,17,0,0
40,3.97,0,18,0,0
41,4.31,0,17,0,0
42,4.25,0,18,0,0
43,4.23,0,18,0,0
44,4.62,0,17,1,0
45,4.8,0,19,0,0
46,1.77,0,19,0,0
47,2.25,0,18,0,0
48,2.97,0,18,0,0
49,2.46,0,19,0,0
50,2.34,0,18,0,0
51,2.87,0,19,0,0
52,3.96,0,17,0,0
53,4.02,0,17,0,0
54,4.28,0,18,0,0
55,4.13,0,17,0,0
56,4.21,0,18,0,0
57,4.37,0,20,0,0
58,4.3,0,20,0,0
59,3.76,0,19,0,0
60,3.47,0,18,0,0
61,3.39,0,18,0,0
62,3.42,0,18,0,0
63,4.32,0,17,0,0
64,4.19,0,18,0,0
65,4.52,0,18,0,0
66,3.98,0,19,0,0
67,4.19,0,21,0,0
68,4.34,0,21,0,1
69,3.37,0,19,0,1
70,4.2,0,19,0,0
71,4.21,0,20,0,2
72,4.18,0,18,0,1
73,3.38,0,17,0,1
74,2.95,0,18,0,1
75,2.57,0,20,0,1
76,2.78,0,20,0,1
77,3.32,0,20,0,1
78,4.08,0,20,0,1
79,4.35,0,21,0,0
80,4.02,0,19,0,0
81,4.28,0,19,0,0
82,4.11,0,19,0,0
83,4.56,0,20,0,0
84,4.05,0,16,0,0
85,4.05,0,17,0,0
86,3.86,0,18,0,0
87,4.3,0,19,0,0
88,3.3,0,20,0,0
89,3.65,0,19,0,0
90,2.71,0,19,0,0
91,2.37,0,19,0,1
92,2.82,0,21,0,1
93,3.17,0,18,0,1
94,3.21,0,17,0,1
95,3.39,0,17,0,1
96,2.65,0,16,0,1
97,2.38,0,19,0,1
98,3.1,0,19,0,1
99,3.26,0,18,0,1
100,3.16,0,16,0,0
101,3.32,0,18,0,1
102,3.07,0,18,0,0
103,3.02,0,18,0,1
104,3.02,0,17,0,1
105,3.03,0,14,0,1
106,2.42,0,15,0,1
107,3.44,0,16,0,1
108,3.43,0,16,0,1
109,2.24,0,17,0,1
110,3.35,0,21,0,1
111,3.73,0,20,0,1
112,3.35,0,19,0,1
113,2.38,0,20,0,1
114,2.71,0,20,0,1
115,2.11,0,20,0,0
116,2.82,0,20,0,0
